text,intent
don't do this process,147
how do i use the reward for my bank of hawaii,6
what time is today's meeting,19
what stuff did i put on my shopping list,43
is that restaurant crowded during dinner,102
can you tell me this vehicles gas type,8
tell me what is on my calendar for march 2,60
measure tire pressure,98
i want to know the time to get to td bank in toms river,78
is there an option to change the language,29
do i have anything on my schedule for april 15,60
are any rooms free from 12 to 1,18
what's a good fun fact about great britain,129
can you help me pay a bill,111
your name from this point forward is george,55
i need to know the number of days off i have taken at this point,148
how much is my cable bill,27
please go back to to factory settings now,88
i want a hotel in phoenix near chase field from january 4th to the 8th,116
i need to know how to get to target by bus,72
i want to cancel my reservation for 5 at red robin,67
can you find me a reputable hotel in honolulu,116
which type of gas do i need to put in my car,8
how do i know the interest rate for my signature account,7
i need to know when i get paid next,79
how are my tires,98
start using a different accent,51
call me bob from now on,144
please connect to my phone,130
why was my card declined,49
"what is the correct spelling of the word comity, since i do not know",73
"how many people have held the role of county attorney bearing the family name ""dixon""",42
find me a flight from seattle to detroit for less than 200 dollars,63
how can i show noel where i am right now,58
how to solve this math problem,138
"find me a rental car for next week , from friday the 5th thru monday the 8th, any kind",40
what's my current bank account total,35
share my gps location with steve,58
please put chips on my shopping list,125
well hello,82
please call an uber for me,39
can you tell me how i change my pin number,89
what's needed to direct deposit my paycheck,108
what kinds of fun things are there in boston for tourists,149
make saound function operate in whisper mode,14
make me giggle,36
what temp is the ac at,10
"suggest a restaurant for me to eat tonight, please",145
what are the carry on limits for delta,62
when my credit card is going to expire,44
find a cleaner that specializes in suede,42
"turn up the volume level to 4, please",150
what time is my haircut on wednesday,60
what are some interesting things i can do while in raleigh,149
will i have to wait a long time to receive my new credit card after i lost my old one,90
what kind of interest can i expect with my chase account,7
add jake's birthday party for friday at 5,105
when must i get my tires changed,47
how did my bank account get frozen,2
list everything on my shopping list,43
set me up with an uber,39
can i change my credit limit,109
how many dollars can i exchange for 5000 rubles,38
why in the world am i locked out of my bank account,2
tell me when to next change my tires,47
return to default settings,88
i'd like to get soda while i'm out; add it to my shopping list,125
how much have i spent on alcohol recently,71
where do i find the routing number for usaa,45
"sorry, i didn't hear you, can you say that gain",13
"would you translate a sentence into russian for me, please",61
please put watering the plants on my to do list,65
how can i change your response language,29
please reconfigure yourself back to factory settings,88
i want to see transactions from this month,68
what if you need to get a new credit card,91
i need your to reset to factory settings,88
has my vacation been approved,101
what is the square root of 5,138
how good are the ratings for olive garden,0
what's this song playing,21
my visa has what limit,41
stop it,147
what did i spend on groceries this month,71
i would like to set a reminder to bring the plants in tonight,53
am i going to need vaccines for the trip,52
howcan i locate my luggage,113
tell me when my credit card expires,44
how much total have i spent on fast food lately,71
who you work for,57
will it cost me anything to use my card in turin,137
can you check if i've added an item to throw out the carcasses on my todo list,48
how much is due for my water bill,27
what kind of gas should i put in this car,8
how much am i taxed each year,94
average time to receive new card,90
how old is the ai,99
check to see how long of a wait i would be facing if i go to outback steakhouse,102
please make a reservation for 2 at olive garden for 5 pm today,23
what should i do if it hurts when i pee,42
can you kindly clear my agenda list,65
no don't do that!,30
update my status on instagram,42
do you have any jokes,36
shut down my account,20
i need to transfer from one account to my second one,133
please report information about activity on my credit card,70
what is your age,99
how do i maintain my credit score,28
which song is playing,21
what's the time it takes to make a decent omelette,86
are my tires under-inflated,98
is my savings interest rate too low,7
what is the best reviewed laptop available on the market,42
can you transfer $5 from savings to checking,133
make me laugh,36
how much is auto febreeze on amazon,42
i need to know last months transactions,68
i am hoping to switch insurance plans,64
disconnect from wifi immediately please,42
what things are there to do in kentucky,149
i do not think that is proper,30
what ingredients do i use for pork belly,112
what would be a fun fact about cats,129
go on the ferris wheel,42
i am not understanding the language you are responding in; switch it for me,29
have i already got eggs down on the shopping list,43
how many pesos can i get for one dollar,38
when should i get new tires,47
when is my plane scheduled to land,80
"next song on the list, please",118
i don't know how to spell drought,73
can you pair yourself with my phone please,130
in what timezone is atlanta located,66
merci beaucoup,124
find schematics for ikea desk assembly,42
find my cellphone for me!,81
tell me how to check my rewards for my american express card,50
are the reviews good or bad for burger king,0
who employs you,57
does more than one carry on cost extra at ryanair,62
my disney visa card is stolen,12
please go ahead and make my student loan payment,111
"hello, ai",82
can i start talking to you in spanish,29
help me with math,138
i am not sure if i have enough money in my chase account to buy a new dress,35
please ask me again,13
how do i get my paycheck direct deposited to my chase account,108
application for a mastercard,91
can i rent a sports car in augusta for 3/4 through 3/8,40
ai how are you doing on this fine day,82
please do a dice roll,92
can i get an uber for 4 to the mall,39
i need know know the reward balance for my visa,50
what steps do i need to take to obtain my w2 for taxes,122
i need to know what names you have for me,11
when is my meeting with invoicing scheduled,19
was my order delivered,84
i think my card was declined at wal mart and i want to know why,49
set the alarm to go off at 9 tomorrow,83
how much cad can i get with my one usd,38
how do i get a w2,122
"to 350, set the oven",10
explain to me how do i get new insurance,64
what restrictions do my carry-ons need to comply with for delta,62
"now that i have a new job, i need getting my 401k rolled over",100
whats rupees dollars in 30,38
cancel my reservation with carl at umami,67
for checkbooks can i order them for my chase account,127
help me convert kilos to pounds,31
i do not know that,121
i want to hear some music,106
"using my salary as a basis, what taxes will i owe",94
the credit limit i have needs to be changed,109
turn the fan on,10
can you remove this event from my calendar,105
how much cash do i earn,93
i arrived on delta flight ab123 from juno but my luggage doesn't appear to have come with me,113
when's the next time i ought to change my oil,123
i want to thank you for helping,124
i would like to use my credit card points,6
how much am i getting back from work,93
show me all gas purchases within the last month,68
how long will i have to wait until they replace a stolen credit card,90
are you working for another person or entity,57
does mexico have any travel alerts i should know about,128
remove the may 11 event called baby shower from my calendar,105
could you tell me how many vacation days i have left,126
"my card is wrecked, let's report it",87
at yakamoto how is their sushi,0
how can i get your attention,75
place a call to father callahan,25
i want to see the nutritional content of the hamburger,1
tell me how to get to target by bus,72
include smooth operator by sade in my playlist,141
give me a table for 3 at o'reilly's bar for 7 please,23
can i get a higher credit limit on my american express,109
tell me how i can get a new pin number,89
i have points on my capital one card and i'd like to know how many i've earned,50
add a meeting with tom at 6pm,18
do you take orders from someone else,57
i seem to have a purchase that i didn't make from olive garden on my account,70
indicate something funny on the topic of food,36
can you tell me when my credit card application will be processed,103
should i apply for a visa if i am traveling to mexico,59
i want to know my interest rate,7
can you call robby,25
would you say it again please,13
iterate over the items on my grocery list,43
where was it you were born,77
what will traffic be like at 5:00 going towards the mall,24
how should i rollover my 401k,100
can you turn on the tv,10
can i increase the credit limit for my bank of the west card,109
how long should i bake the brownies for,86
how many tablespoons are in a cup,31
does the bus go to the washington monument,72
what are you able to do,115
corner of my credit card is chipped off,87
help me find my package,84
just call me dennis,144
what are some popular tourist activities in mexico city,149
how long until i need to change my tires,47
send fraudulent activity information,70
my name is john,144
can you help me with my 401k rollover since i got a new job,100
check if bj's takes reservations,9
when is the best time for my next oil change,123
transfer $100 from my checking to saving account,133
i want to know the type of gasoline for this car,8
has my application for a new credit card been processed,103
should i regard you as a human or as a computer,117
i don't know how to spell squirrel,73
can you put a stop on my bank account,20
where do i go to get a form for w2s,122
please begin pairing with my phone,130
are there decent seafood restaurants in portland,145
what is the most expensive price per share of any stock,42
how would i go about setting up a direct deposit,108
tell me something interesting about los angeles,129
i need to report credit card theft,12
tell me when my visa card will have expired,44
i like to be called mikey,144
what is the weather report for costa mesa,5
can you tell me my cards minimum payment,143
send a text message for me,26
one and three pm are there meeting rooms open,18
"i can't find my discover card, how do i report it",12
i gotta make a reservation for 8 pm at red robin for 3,23
whats the best rated lipstick,42
will you please go back over everything on my to do list,48
what's the forecast like for pittsburgh,5
see you later alligator,114
"can i get some more checkbooks sent to me, please",127
whats the minimum payment on my electric bill,143
what is the correct amount of ounces in a pound,31
put a hold on my bank of america account right away please,20
what’s the answer to 5-6=,138
what number of calories are in a pizza,135
"can you put a stop on my bank account, please",20
what is the lowest i can pay on my phone bill,143
what trees change color in autumn,42
can i get new checks to replace the ones we ran out of,127
when's the next day off coming up,140
please play come as you are by nirvana,106
please tell me why walgreen's wouldn't take my card,49
it seems my luggage was lost,113
is it possible for you to let me know what health plan i'm on,74
i want the pin on my wells fargo account to be changed,89
i used the last check so i want you to help me order more,127
tell me amazon's choice for a set of 4 dinner plates,42
yes i do like that,107
tell me something to make me laugh,36
find out why i can't log in to my bank of america account,2
alert me in 20 minutes,32
i need to make a bill payment,111
what is the calorie content of a scoop of chocolate ice cream,135
read off shopping list,43
scrap reservation at 4 for red robin,67
does it take long to get to yankee stadium in the bronx,78
may i please have a definition for the work churlish,139
what's the nutritional value for a pizza lunchable,1
please locate me on the map and show me,136
do i have to pay amex transaction fees in brazil,137
look up the status of my time off request,101
"later, thanks for chatting",114
could you hit next,118
i appeciate it,124
find the best life insurance for me,64
what do i earn on average at my job,93
can you find my phone,81
tell me a joke about lawyers,36
i want to know what kinds of pets you have,34
are you okay right now,82
has my order been shipped yet,84
i want to hear something funny about politicsi,36
tell me my current reminders list,76
help me build my credit score by showing me some ways on how to,28
look up the average temperature changes over the last 30 years for my area,42
please find me a hotel room for 4 people from monday to wednesday in lakewood,116
can we put sunscreen on my list for shopping,125
will you help me book a place to stay from monday to friday in pittsburgh,116
what is the process of setting up direct deposit,108
where should i look for my credit card expiration day,44
how do i know when to get the tires changed on my car,47
the information is wrong,30
what is my credit limit on my discover card,41
explain how to jump a car,17
find step by step instructions on how to change my oil,3
my account appears to be blocked and i don't know why,2
i need to know more about my health plan,74
what kind of gas will i need to put in this car,8
"i want to change your name, please",55
what are the nearest streets to the statue of liberty in new york,72
tell me the month that my card will expire in,44
how long do wire transfers take,42
what's the best type of plan to upgrade to,42
i am not confident on that,121
make sure to put extra paint on the list,125
what's the procedure to get direct deposit for my paycheck,108
what routing number does chase use,45
can i increase the credit limit for my western union credit card,109
when is your birthday,99
what do i owe bill wise,27
what would four inches be in centimeters,31
how many calories on average are in a hot dog,135
what do you answer to,75
i want you to roll dice,92
can i use almond milk instead of rice milk,134
please set the volume to 4,150
can you please help me find my lost luggage,113
which day is it now,95
what are some of picasso's most famous works,42
schedule a monday meeting with sam at 1 pm,18
reserve a table for 2 at olive garden under the name jim at 6:00pm,23
where did they make you,77
how long is the wait at chipotle tonight,102
guide me through jump starting a car,17
what day is it,95
can you tell me what your refer to me as,11
i want help adjusting my insurance policy,64
what are the carry on limits for delta flights,62
let's change your accent,51
i'm thankful for your help,124
what did i put on my shopping list so far,43
is garlic on my grocery list,43
can you tell me if there's a lot of wait time at wendy's around 8am,102
"in aiken, get me a rental for may 12 to may 16",40
what's the best career search website,42
what's my name in your system,11
please give me my last ten debit card transactions in the month of december,68
tell me what edict means,139
is there any traffic on the way to the bank,24
could you roll over my 401k for me,100
what should i use when i refer to you,75
what can i put on my bank of america card,41
heard any good jokes,36
call robby,25
change device talking speed,119
that's definitely true,107
i need help to roll over my 401k,100
how is the traffic at jfk at 5 pm on weekdays,24
what the mpg,142
tell me the timezone for hong kong,66
is my oil change coming up soon,123
please go ahead and change my name,144
please tell me all of my recent transactions,68
you can just speak to me as jim,144
yes that's it,107
"flip a coin, i call heads!",33
"ai, please flip a simulated coin",33
why did negan return to his jail cell,42
