text,intent_name,umap_x,umap_y
don't do this process,cancel,10.941508,-2.884646
tell me what is on my calendar for march 2,calendar,18.721676,6.248885
do i have anything on my schedule for april 15,calendar,18.442024,6.3536034
what's a good fun fact about great britain,fun_fact,11.421044,13.215332
i want to cancel my reservation for 5 at red robin,cancel_reservation,11.361304,3.3054857
what kinds of fun things are there in boston for tourists,travel_suggestion,12.715957,15.776132
make saound function operate in whisper mode,whisper_mode,12.175238,-8.303086
make me giggle,tell_joke,8.825813,11.738968
"turn up the volume level to 4, please",change_volume,6.046083,-9.241069
what time is my haircut on wednesday,calendar,18.064512,6.396212
what are some interesting things i can do while in raleigh,travel_suggestion,13.554828,15.433894
add jake's birthday party for friday at 5,calendar_update,17.492138,5.4853883
stop it,cancel,10.133875,-3.9263165
do you have any jokes,tell_joke,8.2708845,11.119386
what's the time it takes to make a decent omelette,cook_time,-1.0097396,17.452175
make me laugh,tell_joke,8.753443,11.657724
what things are there to do in kentucky,travel_suggestion,13.482451,15.177868
what would be a fun fact about cats,fun_fact,9.99982,12.46417
cancel my reservation with carl at umami,cancel_reservation,10.530749,4.58587
can you remove this event from my calendar,calendar_update,17.496593,4.8529754
when's the next time i ought to change my oil,oil_change_when,-4.574118,5.3505363
remove the may 11 event called baby shower from my calendar,calendar_update,17.474417,4.914647
indicate something funny on the topic of food,tell_joke,8.758592,12.130952
how long should i bake the brownies for,cook_time,-1.9336398,16.542185
what are some popular tourist activities in mexico city,travel_suggestion,12.936915,16.062862
when is the best time for my next oil change,oil_change_when,-4.63506,5.435605
tell me something interesting about los angeles,fun_fact,12.852102,15.375345
tell me something to make me laugh,tell_joke,8.818038,11.690602
scrap reservation at 4 for red robin,cancel_reservation,11.426067,3.3286698
tell me a joke about lawyers,tell_joke,8.6998415,10.894237
i want to hear something funny about politicsi,tell_joke,8.966914,11.730709
find step by step instructions on how to change my oil,oil_change_how,-1.9760804,-3.8214152
please set the volume to 4,change_volume,6.132126,-9.430603
heard any good jokes,tell_joke,8.311289,11.121601
is my oil change coming up soon,oil_change_when,-4.946806,5.2111106
i want to know fun facts about koala bears,fun_fact,10.465756,12.538171
oil changes are typical done when,oil_change_when,-4.5998783,6.2778516
when would you recommend i get my oil changed,oil_change_when,-4.4011803,5.546813
when will my milk be no good,food_last,0.1683722,14.175597
remove jess's party from my calendar,calendar_update,17.386639,5.108336
do you know any good jokes you would like to share,tell_joke,8.416144,11.076219
what is the way i can change my oil,oil_change_how,-2.4611468,-3.9839275
"i want the events on my calendar for march 20th, 2019 to be cleared",calendar_update,18.033865,4.6031847
i need to know how to change oil in a car,oil_change_how,-2.5192463,-2.6919284
go ahead and increase your speaker volume,change_volume,8.894824,-7.8168178
how long does it take to make shrimp scampi,cook_time,-1.1124855,17.05112
fun facts about tigers,fun_fact,10.345566,12.598835
"i need some recommendations for fun tourist activities in washington, dc",travel_suggestion,13.028646,15.730245
you can cancel my reservation,cancel_reservation,11.184015,4.4592214
don't make too much noise,whisper_mode,9.608107,-7.0021706
tell me what my calendar looks like for april 13,calendar,18.595293,6.328211
what are popular mountains to hike in arizona,travel_suggestion,13.26655,14.863337
please increase your volume,change_volume,8.716937,-6.9306426
what is the prep time for a 10 lb turkey,cook_time,-1.5226412,17.565588
"could you cancel that request, please",cancel,11.111663,-3.9123769
cancel that last command,cancel,11.438993,-3.4744606
milk can stay in my fridge for how long,food_last,-0.1201048,14.32416
turn down the volume,change_volume,8.518861,-7.521725
know any interesting facts,fun_fact,11.041723,12.867321
tell me something interesting about outer space,fun_fact,10.953447,12.933928
can you cancel it,cancel,11.165731,-3.822046
how soon until i will need to get my oil changed,oil_change_when,-3.995524,6.084426
clear my calendar for may 3rd,calendar_update,18.119394,4.5968795
how do you know if your oil needs changed,oil_change_when,-4.9554443,6.043166
how long does cottage cheese keep in the fridge,food_last,-0.43016052,15.423568
what are some things to do in portland,travel_suggestion,12.987701,15.0994625
tell me what to do to change the oil in a subaru,oil_change_how,-2.640156,-2.6768749
remove anniversary dinner from my calendar on april 5,calendar_update,17.233597,5.233821
can you switch out of whisper mode,whisper_mode,12.215417,-8.159042
i need instructions on how to change my car's oil and what type i should buy,oil_change_how,-2.4920418,-3.0143101
the reservation at zepher cancel joe from that,cancel_reservation,10.838212,4.1916385
make not of my appointment for tomorrow on my calendar,calendar_update,19.333353,4.708235
is it okay to eat chicken that i put in the fridge on monday,food_last,0.26105773,16.01724
tell me something interesting about elephants,fun_fact,10.456117,12.509416
can you speak quieter,change_volume,9.797132,-6.9316325
forget reservation at oyster bar for tonight,cancel_reservation,11.772667,4.3718348
