pair,true_intent,pred_intent,text,pred_ft,pred_zs,pred_fs,methods_made_error,n_methods,error_type,notes
change_volume → whisper_mode,change_volume,whisper_mode,turn the volume up,change_volume,whisper_mode,whisper_mode,ZS+FS,2,magnet_intent,явная команда повысить громкость; ZS+FS сваливаются в магнит-интент аудио-домена
change_volume → whisper_mode,change_volume,whisper_mode,limit your volume,change_volume,whisper_mode,whisper_mode,ZS+FS,2,magnet_intent,явно про управление громкостью; ZS+FS уходят в магнит
change_volume → whisper_mode,change_volume,whisper_mode,be more quiet,cancel,whisper_mode,whisper_mode,ZS+FS,2,ambiguous_phrasing,"«be quiet» реально может означать и снижение громкости, и режим шёпота"
change_volume → whisper_mode,change_volume,whisper_mode,turn up your speaker volume,change_volume,whisper_mode,whisper_mode,ZS+FS,2,magnet_intent,явная команда о громкости динамика; ZS+FS — магнит
change_volume → whisper_mode,change_volume,whisper_mode,put volume setting on number 4,change_volume,whisper_mode,change_volume,ZS,1,magnet_intent,конкретная числовая команда; только ZS уходит в магнит
change_volume → whisper_mode,change_volume,whisper_mode,set the volume at 4 for me please,change_volume,whisper_mode,change_volume,ZS,1,magnet_intent,явная установка громкости; ZS-магнит
change_volume → whisper_mode,change_volume,whisper_mode,adjust volume setting to 4,change_volume,whisper_mode,change_volume,ZS,1,magnet_intent,явная регулировка; ZS-магнит
change_volume → whisper_mode,change_volume,whisper_mode,please increase the volume to 4,change_volume,whisper_mode,change_volume,ZS,1,magnet_intent,явная команда; ZS-магнит
oil_change_when → oil_change_how,oil_change_when,oil_change_how,do you change the oil in your car more than once a year,oil_change_how,oil_change_how,oil_change_when,FT+ZS,2,ambiguous_phrasing,"вопрос о частоте можно понять и как «когда» (timing), и как «как часто» (процедура)"
oil_change_when → oil_change_how,oil_change_when,oil_change_how,is it time for an oil change,oil_change_when,oil_change_how,oil_change_how,ZS+FS,2,synonymous_intents,явный вопрос про «когда»; пара искусственно расщеплена на when/how
oil_change_when → oil_change_how,oil_change_when,oil_change_how,when do i need to change my motor oil,oil_change_when,oil_change_how,oil_change_when,ZS,1,synonymous_intents,явно про «когда»; ZS не различает близнецовые интенты
oil_change_when → oil_change_how,oil_change_when,oil_change_how,when do i need to change my oil next,oil_change_when,oil_change_how,oil_change_when,ZS,1,synonymous_intents,явно про «когда»; синонимия пары
oil_change_when → oil_change_how,oil_change_when,oil_change_how,when should i get my oil changed,oil_change_when,oil_change_how,oil_change_when,ZS,1,synonymous_intents,явно про «когда»; синонимия
oil_change_when → oil_change_how,oil_change_when,oil_change_how,when is my next oil change due,oil_change_when,oil_change_how,oil_change_when,ZS,1,synonymous_intents,явно про «когда»; синонимия
oil_change_when → oil_change_how,oil_change_when,oil_change_how,"my oil seems pretty black, does that mean i should change it",oil_change_how,change_ai_name,oil_change_when,FT,1,ambiguous_phrasing,«стоит ли мне менять» — гибрид «когда» и «как поступить с тёмным маслом»
oil_change_when → oil_change_how,oil_change_when,oil_change_how,i really must know when should i get my oil changed next,oil_change_when,oil_change_how,oil_change_when,ZS,1,synonymous_intents,явно про «когда»; синонимия
